LFG-STISY7-L1,test11
IL3QWIVRMGMT1,confserv
IL3QWIVRRESMGR1,FTW_ResourceManager_Q1
IL3QWIVRRESMGR2,FTW_ResourceManager_Q2
IL3QWIVRMGMT1,FTW_SolutionControlServer_Q1
IL3QWIVRMGMT1,FTW_LogDBServer_Q1
IL3QWIVRMGMT1,FTW_MessageServer_Q1
IL3TLIVRSIP01,FTW_SipServer_Q1
IL3TLIVRSIP02,FTW_SipSever_Q2
IL3QWIVRRPT1,FTW_ReportingServer_Q1
IL3QWIVRMEDIA1,FTW_PP_MCP_1
IL3QWIVRMEDIA1,FTW_PP_MCP_3
IL3QWIVRMEDIA2,FTW_PP_MCP_2
IL3QWIVRMEDIA2,FTW_PP_MCP_4
IL3QWIVRMGMT1,LogDAP
IL3QWGENURS2,OMA_TServer
IL3QWGENURS2,FTW_TServer
IL3QWGENURS1,ConfigProxy_FTW
IL3QWGENRPT2,FTW_PulseStatServer
IL3QWGENRPT2,OMA_PulseStatServer
IL3QWGENRPT2,GSO_PulseStatServerBkup
IL3QWGENICON1,ICON_DBServer_FTW
IL3QWGENICON1,ICON_Voice_FTW
IL3QWGENICON2,ICON_Multimedia_FTW
IL3QWGENICON3,ICON_Config_FTW
IL3QWGENURS1,FTW_URS_Q1
IL3QWGENINT1,Genesys_Desktop_764
IL3QWGENEMAIL1,ClassificationServer
IL3QWGENEMAIL1,EmailServer
IL3QWGENEMAIL1,IXNDBServer
IL3QWGENEMAIL1,InteractionServer
IL3QWGENEMAIL2,UCS
IL3QWGENEMAIL2,Email StatServer
IL3QWGENEMAIL2,Email_URS
IL3QWGENEMAIL1,IXN_DAP
VA1QWCSQL0300.us.ad.lfg.com,UCS_DAP
nc2qwgenurs3,GSO_TServer
nc2qwgenurs2,OMA_TServer_Backup
nc2qwgenurs2,FTW_TServer_Backup
IL3QWGENURS3,GSO_TServer_Backup
VA1QWGENRPT2,OMA_PluseStatServer_Backup
VA1QWGENRPT2,FTW_PulseStatServer_Backup
VA1QWGENRPT1,GSO_PulseStatServer
VA1QWGENICON2,ICON_Multimedia_GSO
VA1QWGENICON3,ICON_Config_GSO
VA1QWGENICON1,ICON_Voice_GSO
VA1QWGENICON1,ICON_DBServer_GSO
nc2qwgenurs1,ConfigProxy_GSO
IL3QWIVRMGMT1,IRD_DAP
IL3QWGENEMAIL1,EmailRoutingDBServer
IL3QWGENEMAIL1,EmailRoutingDAP
VA1QWINFOMART1,Infomart
IL3QWIVRMGMT2,GSO_MessageServer_Backup
VA1QWGENMGMT1,GSO_LogDBServer_Backup
VA1QWGENMGMT1,Confserv_backup
IL3QWIVRMGMT1,cfg_dbserver
VA1QWGENMGMT1,cfg_dbserver_Backup
VA1QWGENEMAIL2,ClassificationServer_Backup
VA1QWGENEMAIL2,Email StatServer_Backup
VA1QWGENEMAIL2,Email_URS_Backup
VA1QWGENEMAIL1,EmailRoutingDBServer_Backup
VA1QWGENEMAIL1,EmailServer_Backup
VA1QWGENEMAIL1,InteractionServer_Backup
VA1QWGENEMAIL1,IXNDBServer_Backup
VA1QWGENEMAIL2,UCS_Backup
nc2qwgenwfm2,WFM_Builder
nc2qwgenwfm2,WFM_Daemon
nc2qwgenwfm2,WFM_Data_Aggregator
nc2qwgenwfm2,WFM_Server
nc2qwgenwfm2,WFM_Web
nc2qwgenwfm2,WFM_StatServer
VA1QWGENWFM1,WFM_DAP
nc2qwivrresmgr1,GSO_ResourceManager_Q1
nc2qwivrresmgr2,GSO_ResourceManager_Q2
nc2qwivrmedia1,GSO_PP_MCP_1
nc2qwivrmedia2,GSO_PP_MCP_2
IL3QWGENICON1,GIM_DAP
nc2qwivrrpt1,GSO_ReportingServer_Q1
nc2tlivrsip01,GSO_SipServer_Q1
nc2tlivrsip02,GSO_SipServer_Q2
nc2qwivrspeech1,GSO_RAPASR_Q1
IL3QWGENICON1,ICON_CONFIG_GSO_PROXY_DAP
IL3QWGENICON1,ICON_CONFIG_FTW_PROXY_DAP
IL3QWGENICON1,ICON_MM_FTW_PROXY_DAP
IL3QWGENICON1,ICON_MM_GSO_PROXY_DAP
IL3QWGENICON1,ICON_VOICE_FTW_PROXY_DAP
IL3QWGENICON1,ICON_VOICE_GSO_PROXY_DAP
IL3QWGENEMAIL1,Interaction_Server_Proxy
nc2qwivrspeech2,GSO_RAPASR_Q2
nc2qwivrspeech1,GSO_NuanceSpeechServer_Q1
nc2qwivrspeech2,GSO_NuanceSpeechServer_Q2
nc2qwivrspeech1,GSO_NuanceLicenseServer_Q1
nc2qwivrspeech2,GSO_NuanceLicenseServer_Q2
IL3QWIVRSPEECH1,FTW_RAPASR_Q1
IL3QWIVRSPEECH2,FTW_RAPASR_Q2
IL3QWIVRSPEECH1,FTW_NuanceSpeechServer_Q1
IL3QWIVRSPEECH1,FTW_NuanceLicenseServer_Q1
IL3QWIVRSPEECH2,FTW_NuanceSpeechServer_Q2
IL3QWIVRSPEECH2,FTW_NuanceLicenseServer_Q2
nc2qwgenurs1,GSO_URS_Q2
nc2qwivrmedia1,GSO_PP_MCP_3
nc2qwivrmedia2,GSO_PP_MCP_4
nc2qwgenurs1,GSO_Routing_StatServer
IL3QWGENURS1,FTW_Routing_StatServer
IL3QWIVRMGMT2,FTW_MessagerServer_Backup
VA1QWGENINT1,Genesys_Desktop_GSO
nc2qwgenwfm1,WFM_Builder_2
nc2qwgenwfm1,WFM_Daemon_2
nc2qwgenwfm1,WFM_Data_Aggregator_2
nc2qwgenwfm1,WFM_Server_2
nc2qwgenwfm1,WFM_StatServer_2
nc2qwgenwfm1,WFM_Web_2
VA1QWGENMGMT2,ConfigProxy_FTW_Backup
IL3QWIVRMGMT2,ConfigProxy_GSO_Backup
nc2qwgenurs2,GSO_SolutionControlServer_Q1
nc2qwivrspeech1,GSO_RAPTTS_Q1
IL3QWIVRSPEECH1,FTW_RAPTTS_Q1
IL3QWGENEMAIL1,GP_UCS_Proxy
VA1QWGENEMAIL1,GP_UCS_Proxy_Backup
nc2qwgenurs2,ATL_TServer_Backup
IL3QWGENURS2,ATL_TServer
VA1QWCSQL0300.us.ad.lfg.com,UCS_DAP_A
WWE_Host,gp_wwe
IL3QWIVRMGMT1,Config_DB
IL3QWGENCHAT1,Chat_Server
nc2tlwas191.lnc.com,Web API Server LFG
nc2tlwas192.lnc.com,Web API Server LFG 2
nc2dlwas186.lnc.com,Web APIServer_850
VA1QWGENCHAT1,Chat_Server_Backup
VA1QWGENMGMT1,GSO_MessageServer_Q1
IL3QWGENRPT1,Verint_WFM_old
VA1QWGENWFM1,GP_WFM_Builder
VA1QWGENWFM1,GP_WFM_Daemon
VA1QWGENWFM1,GP_WFM_Data_Aggregator
VA1QWGENWFM1,GP_WFM_Server
VA1QWGENWFM1,GP_WFM_Web
VA1QWGENWFM1,GP_WFM_Stat_Server
VA1QWGENWFM2,PS_WFM_Builder
VA1QWGENWFM2,PS_WFM_Daemon
VA1QWGENWFM2,PS_WFM_Data_Aggregator
